"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Bank Account Endpoint","5","0","Valid get a particular bank account","0"
"0","","0","Authentication Endpoint","4","0","Bad Request Credentials","0"
"0","","0","Login Action","4","0","Successful Login with Valid Credentials","0"
"0","","0","Bank Account Endpoint","5","0","Valid Bank Accounts Post","0"
"0","","0","Login Action","5","0","Restrict Login to Invalid Credentials","0"
"0","","0","Bank Account Endpoint","4","0","Invalid put Bank Account operation","0"
"0","","0","Bank Account Endpoint","2","0","Valid patch Bank Account operation","0"
"0","","0","Authentication Endpoint","4","0","Valid Credentials test","0"
"0","","0","Bank Account Endpoint","3","0","Invalid get a particular bank account","0"
"0","","0","Bank Account Endpoint","5","0","Deletion of bank Account","0"
"0","","0","Bank Account Endpoint","2","0","Invalid patch Bank Account operation","0"
"0","","0","Bank Account Endpoint","3","0","Valid put Bank Account operation","0"
"0","","0","Bank Account Endpoint","1","0","Valid Get Bank Account Requests","0"
"0","","0","Bank Account Endpoint","1","0","Invalid Bank Accounts Post","0"
